Type,Type2,MONTH,Total_Passengers
in_usa,N,1,8981226.4
in_usa,N,2,7495343.8
in_usa,N,3,9282551.2
in_usa,N,4,9329688.2
in_usa,N,5,9289536.6
in_usa,N,6,10053311.0
in_usa,N,7,11727358.0
in_usa,N,8,11348649.4
in_usa,N,9,8918360.0
in_usa,N,10,8944363.4
in_usa,Y,1,9952751.0
in_usa,Y,2,8098181.0
in_usa,Y,3,4692704.0
in_usa,Y,4,186894.0
in_usa,Y,5,165449.0
in_usa,Y,6,409242.0
in_usa,Y,7,846458.0
in_usa,Y,8,1168821.0
in_usa,Y,9,1155132.0
in_usa,Y,10,1464405.0
internal,N,1,54195665.8
internal,N,2,51966035.0
internal,N,3,64573527.4
internal,N,4,61992145.4
internal,N,5,65490216.8
internal,N,6,67421176.6
internal,N,7,69672542.8
internal,N,8,67367932.6
internal,N,9,59479639.4
internal,N,10,65098209.6
internal,Y,1,61852345.0
internal,Y,2,60065172.0
internal,Y,3,34536060.0
internal,Y,4,2898357.0
internal,Y,5,8268803.0
internal,Y,6,16185654.0
internal,Y,7,22952029.0
internal,Y,8,23999652.0
internal,Y,9,23967940.0
internal,Y,10,28178232.0
out_usa,N,1,8368776.4
out_usa,N,2,7518682.4
out_usa,N,3,9194637.8
out_usa,N,4,8900103.8
out_usa,N,5,9851085.2
out_usa,N,6,10735506.0
out_usa,N,7,10907755.8
out_usa,N,8,10571567.4
out_usa,N,9,8713158.6
out_usa,N,10,8870868.4
out_usa,Y,1,9159446.0
out_usa,Y,2,7908464.0
out_usa,Y,3,4394044.0
out_usa,Y,4,242363.0
out_usa,Y,5,226132.0
out_usa,Y,6,445894.0
out_usa,Y,7,1029123.0
out_usa,Y,8,1127241.0
out_usa,Y,9,1134825.0
out_usa,Y,10,1510946.0
