,Type2,MONTH,Count_of_flight
0,N,1,2701.4676257362935
1,N,2,2679.331055890683
2,N,3,3158.062073161457
3,N,4,3075.3577633465466
4,N,5,3325.5335654333408
5,N,6,3329.357438874337
6,N,7,3608.022850218887
7,N,8,3351.9592380694958
8,N,9,3054.391111463202
9,N,10,3270.902030865366
10,Y,1,2993.4758753281326
11,Y,2,3048.6040556245744
12,Y,3,1781.613559322034
13,Y,4,225.3412338321934
14,Y,5,635.7644986051974
15,Y,6,1196.8527883129652
16,Y,7,1503.4280004844375
17,Y,8,1481.1983326761674
18,Y,9,1491.2481258518856
19,Y,10,1791.0534092215707
