Row,Column,State,Abbreviation,Electoral Votes Final Available
0,0.5,Alaska,AK,3.0
0,11.5,Maine,ME,4.0
1,10.0,Vermont ,VT,3.0
1,11.0,New Hampshire ,NH,4.0
2,1.5,Washington ,WA,12.0
2,2.5,Montana,MT,3.0
2,3.5,North Dakota ,ND,3.0
2,4.5,Minnesota,MN,10.0
2,5.5,Wisconsin ,WI,10.0
2,7.5,Michigan,MI,16.0
2,9.5,New York ,NY,29.0
2,10.5,Massachusetts,MA,11.0
2,11.5,Rhode Island ,RI,4.0
3,2.0,Idaho,ID,4.0
3,3.0,Wyoming,WY,3.0
3,4.0,South Dakota ,SD,3.0
3,5.0,Iowa,IA,6.0
3,6.0,Illinois,IL,20.0
3,7.0,Indiana,IN,11.0
3,8.0,Ohio ,OH,18.0
3,9.0,Pennsylvania,PA,20.0
3,10.0,New Jersey ,NJ,14.0
3,11.0,Connecticut,CT,7.0
4,1.5,Oregon ,OR,7.0
4,2.5,Nevada ,NV,6.0
4,3.5,Colorado,CO,9.0
4,4.5,Nebraska ,NE,5.0
4,5.5,Missouri,MO,10.0
4,6.5,Kentucky,KY,8.0
4,7.5,West Virginia ,WV,5.0
4,8.5,Maryland,MD,10.0
4,9.5,Delaware,DE,3.0
5,2.0,California,CA,55.0
5,3.0,Arizona,AZ,11.0
5,4.0,Utah ,UT,6.0
5,5.0,Kansas,KS,6.0
5,6.0,Arkansas,AR,6.0
5,7.0,Tennessee ,TN,11.0
5,8.0,Virginia ,VA,13.0
5,9.0,North Carolina ,NC,15.0
5,12.0,District of Columbia,DC,3.0
6,3.5,New Mexico ,NM,5.0
6,4.5,Oklahoma ,OK,7.0
6,5.5,Louisiana,LA,8.0
6,6.5,Mississippi,MS,6.0
6,7.5,Alabama,AL,9.0
6,8.5,South Carolina ,SC,9.0
7,4.0,Texas ,TX,38.0
7,8.0,Georgia,GA,16.0
8,0.5,Hawaii,HI,4.0
8,8.5,Florida,FL,29.0
