,year,week,avgsessiondu,duration_in_minute,Date
1,2020,1,262,04:22,2019-12-30
2,2020,2,251,04:11,2020-01-06
3,2020,3,178,02:58,2020-01-13
4,2020,4,180,03:00,2020-01-20
5,2020,5,220,03:40,2020-01-27
6,2020,6,243,04:03,2020-02-03
7,2020,7,204,03:24,2020-02-10
8,2020,8,217,03:37,2020-02-17
9,2020,9,187,03:07,2020-02-24
10,2020,10,188,03:08,2020-03-02
11,2020,11,208,03:28,2020-03-09
12,2020,12,208,03:28,2020-03-16
13,2020,13,161,02:41,2020-03-23
14,2020,14,204,03:24,2020-03-30
15,2020,15,176,02:56,2020-04-06
16,2020,16,215,03:35,2020-04-13
17,2020,17,194,03:14,2020-04-20
18,2020,18,194,03:14,2020-04-27
19,2020,19,222,03:42,2020-05-04
20,2020,20,159,02:39,2020-05-11
21,2020,21,211,03:31,2020-05-18
22,2020,22,233,03:53,2020-05-25
23,2020,23,205,03:25,2020-06-01
24,2020,24,196,03:16,2020-06-08
25,2020,25,171,02:51,2020-06-15
26,2020,26,186,03:06,2020-06-22
27,2020,27,196,03:16,2020-06-29
28,2020,28,194,03:14,2020-07-06
29,2020,29,181,03:01,2020-07-13
30,2020,30,187,03:07,2020-07-20
31,2020,31,210,03:30,2020-07-27
32,2020,32,197,03:17,2020-08-03
33,2020,33,220,03:40,2020-08-10
34,2020,34,221,03:41,2020-08-17
35,2020,35,198,03:18,2020-08-24
36,2020,36,191,03:11,2020-08-31
37,2020,37,172,02:52,2020-09-07
38,2020,38,199,03:19,2020-09-14
39,2020,39,176,02:56,2020-09-21
40,2020,40,199,03:19,2020-09-28
41,2020,41,191,03:11,2020-10-05
42,2020,42,192,03:12,2020-10-12
43,2020,43,170,02:50,2020-10-19
44,2020,44,188,03:08,2020-10-26
45,2020,45,195,03:15,2020-11-02
46,2020,46,184,03:04,2020-11-09
47,2020,47,203,03:23,2020-11-16
48,2020,48,155,02:35,2020-11-23
49,2020,49,175,02:55,2020-11-30
50,2020,50,179,02:59,2020-12-07
51,2020,51,179,02:59,2020-12-14
52,2020,52,202,03:22,2020-12-21
53,2020,53,228,03:48,2020-12-28
54,2021,1,169,02:49,2020-12-28
55,2021,2,198,03:18,2021-01-04
56,2021,3,192,03:12,2021-01-11
57,2021,4,194,03:14,2021-01-18
58,2021,5,225,03:45,2021-01-25
59,2021,6,227,03:47,2021-02-01
60,2021,7,199,03:19,2021-02-08
61,2021,8,207,03:27,2021-02-15
62,2021,9,200,03:20,2021-02-22
63,2021,10,188,03:08,2021-03-01
64,2021,11,194,03:14,2021-03-08
65,2021,12,202,03:22,2021-03-15
66,2021,13,205,03:25,2021-03-22
67,2021,14,196,03:16,2021-03-29
68,2021,15,152,02:32,2021-04-05
