,year,week,bounce_rate,Date
1,2020,1,43.3,2019-12-30
2,2020,2,43.9,2020-01-06
3,2020,3,48.4,2020-01-13
4,2020,4,46.6,2020-01-20
5,2020,5,41.1,2020-01-27
6,2020,6,42.8,2020-02-03
7,2020,7,43.5,2020-02-10
8,2020,8,44.0,2020-02-17
9,2020,9,50.4,2020-02-24
10,2020,10,51.9,2020-03-02
11,2020,11,50.8,2020-03-09
12,2020,12,47.4,2020-03-16
13,2020,13,51.6,2020-03-23
14,2020,14,50.4,2020-03-30
15,2020,15,52.6,2020-04-06
16,2020,16,50.3,2020-04-13
17,2020,17,47.9,2020-04-20
18,2020,18,48.2,2020-04-27
19,2020,19,47.3,2020-05-04
20,2020,20,52.0,2020-05-11
21,2020,21,44.4,2020-05-18
22,2020,22,44.4,2020-05-25
23,2020,23,48.2,2020-06-01
24,2020,24,49.2,2020-06-08
25,2020,25,48.8,2020-06-15
26,2020,26,47.0,2020-06-22
27,2020,27,49.3,2020-06-29
28,2020,28,47.4,2020-07-06
29,2020,29,50.1,2020-07-13
30,2020,30,44.4,2020-07-20
31,2020,31,45.9,2020-07-27
32,2020,32,46.4,2020-08-03
33,2020,33,47.6,2020-08-10
34,2020,34,43.0,2020-08-17
35,2020,35,48.8,2020-08-24
36,2020,36,50.2,2020-08-31
37,2020,37,51.6,2020-09-07
38,2020,38,47.4,2020-09-14
39,2020,39,47.5,2020-09-21
40,2020,40,52.0,2020-09-28
41,2020,41,50.6,2020-10-05
42,2020,42,49.8,2020-10-12
43,2020,43,54.6,2020-10-19
44,2020,44,51.1,2020-10-26
45,2020,45,51.2,2020-11-02
46,2020,46,52.3,2020-11-09
47,2020,47,49.3,2020-11-16
48,2020,48,53.5,2020-11-23
49,2020,49,48.2,2020-11-30
50,2020,50,52.5,2020-12-07
51,2020,51,51.0,2020-12-14
52,2020,52,48.4,2020-12-21
53,2020,53,44.8,2020-12-28
54,2021,1,54.8,2020-12-28
55,2021,2,49.6,2021-01-04
56,2021,3,51.4,2021-01-11
57,2021,4,50.8,2021-01-18
58,2021,5,45.7,2021-01-25
59,2021,6,43.8,2021-02-01
60,2021,7,52.3,2021-02-08
61,2021,8,48.6,2021-02-15
62,2021,9,50.8,2021-02-22
63,2021,10,48.1,2021-03-01
64,2021,11,52.6,2021-03-08
65,2021,12,47.3,2021-03-15
66,2021,13,51.2,2021-03-22
67,2021,14,50.2,2021-03-29
68,2021,15,51.9,2021-04-05
