,Unnamed: 0,year,week,Sessions,Date
0,1,2020,1,1761,2019-12-30
1,2,2020,2,2842,2020-01-06
2,3,2020,3,2764,2020-01-13
3,4,2020,4,2446,2020-01-20
4,5,2020,5,2388,2020-01-27
5,6,2020,6,2449,2020-02-03
6,7,2020,7,2341,2020-02-10
7,8,2020,8,2300,2020-02-17
8,9,2020,9,2373,2020-02-24
9,10,2020,10,2117,2020-03-02
10,11,2020,11,1939,2020-03-09
11,12,2020,12,1614,2020-03-16
12,13,2020,13,1965,2020-03-23
13,14,2020,14,2255,2020-03-30
14,15,2020,15,1985,2020-04-06
15,16,2020,16,1970,2020-04-13
16,17,2020,17,2045,2020-04-20
17,18,2020,18,2120,2020-04-27
18,19,2020,19,1866,2020-05-04
19,20,2020,20,2075,2020-05-11
20,21,2020,21,1993,2020-05-18
21,22,2020,22,1739,2020-05-25
22,23,2020,23,2032,2020-06-01
23,24,2020,24,1933,2020-06-08
24,25,2020,25,1741,2020-06-15
25,26,2020,26,1852,2020-06-22
26,27,2020,27,1859,2020-06-29
27,28,2020,28,1733,2020-07-06
28,29,2020,29,1926,2020-07-13
29,30,2020,30,1845,2020-07-20
30,31,2020,31,1772,2020-07-27
31,32,2020,32,1689,2020-08-03
32,33,2020,33,1856,2020-08-10
33,34,2020,34,1830,2020-08-17
34,35,2020,35,1772,2020-08-24
35,36,2020,36,1625,2020-08-31
36,37,2020,37,1691,2020-09-07
37,38,2020,38,1740,2020-09-14
38,39,2020,39,1828,2020-09-21
39,40,2020,40,1874,2020-09-28
40,41,2020,41,2386,2020-10-05
41,42,2020,42,2137,2020-10-12
42,43,2020,43,2307,2020-10-19
43,44,2020,44,2104,2020-10-26
44,45,2020,45,1822,2020-11-02
45,46,2020,46,2439,2020-11-09
46,47,2020,47,2189,2020-11-16
47,48,2020,48,1806,2020-11-23
48,49,2020,49,1939,2020-11-30
49,50,2020,50,1986,2020-12-07
50,51,2020,51,2371,2020-12-14
51,52,2020,52,1797,2020-12-21
52,53,2020,53,1896,2020-12-28
53,54,2021,1,4231,2020-12-28
54,55,2021,2,3714,2021-01-04
55,56,2021,3,3656,2021-01-11
56,57,2021,4,3690,2021-01-18
57,58,2021,5,3348,2021-01-25
58,59,2021,6,3339,2021-02-01
59,60,2021,7,3917,2021-02-08
60,61,2021,8,3550,2021-02-15
61,62,2021,9,3481,2021-02-22
62,63,2021,10,3120,2021-03-01
63,64,2021,11,3270,2021-03-08
64,65,2021,12,3031,2021-03-15
65,66,2021,13,2902,2021-03-22
66,67,2021,14,2948,2021-03-29
