,year,week,avg_time_on_page,duration_in_minute,Date
1,2020,1,124.49940790367594,02:04,2019-12-30
2,2020,2,107.9864838009957,01:47,2020-01-06
3,2020,3,82.85012167696227,01:22,2020-01-13
4,2020,4,89.23016747727429,01:29,2020-01-20
5,2020,5,104.90658043364684,01:44,2020-01-27
6,2020,6,108.42925963627667,01:48,2020-02-03
7,2020,7,103.7488211662104,01:43,2020-02-10
8,2020,8,102.76636580472275,01:42,2020-02-17
9,2020,9,87.05647810931858,01:27,2020-02-24
10,2020,10,92.00058995732905,01:32,2020-03-02
11,2020,11,98.34513096717988,01:38,2020-03-09
12,2020,12,100.59940578892763,01:40,2020-03-16
13,2020,13,76.72682945481588,01:16,2020-03-23
14,2020,14,95.8578826509874,01:35,2020-03-30
15,2020,15,103.24021849214101,01:43,2020-04-06
16,2020,16,104.5417514585713,01:44,2020-04-13
17,2020,17,113.12646393018838,01:53,2020-04-20
18,2020,18,100.98732729090263,01:40,2020-04-27
19,2020,19,99.66103501430909,01:39,2020-05-04
20,2020,20,89.74209030132923,01:29,2020-05-11
21,2020,21,106.17844651500867,01:46,2020-05-18
22,2020,22,104.67644767841685,01:44,2020-05-25
23,2020,23,86.82144113919482,01:26,2020-06-01
24,2020,24,83.36986563601894,01:23,2020-06-08
25,2020,25,84.29395161482638,01:24,2020-06-15
26,2020,26,89.16119333702434,01:29,2020-06-22
27,2020,27,109.87010739100943,01:49,2020-06-29
28,2020,28,90.41309336065845,01:30,2020-07-06
29,2020,29,84.64443548712302,01:24,2020-07-13
30,2020,30,97.25803378353152,01:37,2020-07-20
31,2020,31,108.1820277330919,01:48,2020-07-27
32,2020,32,88.55369210411915,01:28,2020-08-03
33,2020,33,86.02874160570724,01:26,2020-08-10
34,2020,34,101.43473943588967,01:41,2020-08-17
35,2020,35,93.16563167008282,01:33,2020-08-24
36,2020,36,91.22930986252294,01:31,2020-08-31
37,2020,37,87.712345958256,01:27,2020-09-07
38,2020,38,92.50252630501573,01:32,2020-09-14
39,2020,39,80.74838355267988,01:20,2020-09-21
40,2020,40,94.01506820100158,01:34,2020-09-28
41,2020,41,100.58193833618729,01:40,2020-10-05
42,2020,42,94.53777686086954,01:34,2020-10-12
43,2020,43,98.08418099439646,01:38,2020-10-19
44,2020,44,104.28826135428845,01:44,2020-10-26
45,2020,45,100.1583068700545,01:40,2020-11-02
46,2020,46,98.80743902487895,01:38,2020-11-09
47,2020,47,104.35069423234746,01:44,2020-11-16
48,2020,48,91.94466090059333,01:31,2020-11-23
49,2020,49,97.92589795625749,01:37,2020-11-30
50,2020,50,87.15584672544878,01:27,2020-12-07
51,2020,51,83.03836059757361,01:23,2020-12-14
52,2020,52,85.34541961100452,01:25,2020-12-21
53,2020,53,89.37435266626404,01:29,2020-12-28
54,2021,1,83.56028369997289,01:23,2020-12-28
55,2021,2,95.8610809788975,01:35,2021-01-04
56,2021,3,98.84544067373574,01:38,2021-01-11
57,2021,4,99.46009641024236,01:39,2021-01-18
58,2021,5,113.61592285476335,01:53,2021-01-25
59,2021,6,96.00569373492893,01:36,2021-02-01
60,2021,7,100.94440355946206,01:40,2021-02-08
61,2021,8,100.49109101266849,01:40,2021-02-15
62,2021,9,89.53608955230736,01:29,2021-02-22
63,2021,10,98.81400189987438,01:38,2021-03-01
64,2021,11,94.94033593465211,01:34,2021-03-08
65,2021,12,98.94383571903361,01:38,2021-03-15
66,2021,13,105.01144095769916,01:45,2021-03-22
67,2021,14,94.14704966754853,01:34,2021-03-29
68,2021,15,67.53000475959516,01:07,2021-04-05
