Year,Champion,Runner-Up,gender
1971,Cornell,Maryland,Male
1972,Virginia,Johns Hopkins,Male
1973,Maryland,Johns Hopkins,Male
1974,Johns Hopkins,Maryland,Male
1975,Maryland,Navy,Male
1976,Cornell,Maryland,Male
1977,Cornell,Johns Hopkins,Male
1978,Johns Hopkins,Cornell,Male
1979,Johns Hopkins,Maryland,Male
1980,Johns Hopkins,Virginia,Male
1981,North Carolina,Johns Hopkins,Male
1982,North Carolina,Johns Hopkins,Male
1983,Syracuse,Johns Hopkins,Male
1984,Johns Hopkins,Syracuse,Male
1985,Johns Hopkins,Syracuse,Male
1986,North Carolina,Virginia,Male
1987,Johns Hopkins,Cornell,Male
1988,Syracuse,Cornell,Male
1989,Syracuse,Johns Hopkins,Male
1990,Syracuse*,Loyola Maryland,Male
1991,North Carolina,Towson,Male
1992,Princeton,Syracuse,Male
1993,Syracuse,North Carolina,Male
1994,Princeton,Virginia,Male
1995,Syracuse,Maryland,Male
1996,Princeton,Virginia,Male
1997,Princeton,Maryland,Male
1998,Princeton,Maryland,Male
1999,Virginia,Syracuse,Male
2000,Syracuse,Princeton,Male
2001,Princeton,Syracuse,Male
2002,Syracuse,Princeton,Male
2003,Virginia,Johns Hopkins,Male
2004,Syracuse,Navy,Male
2005,Johns Hopkins,Duke,Male
2006,Virginia,Massachusetts,Male
2007,Johns Hopkins,Duke,Male
2008,Syracuse,Johns Hopkins,Male
2009,Syracuse,Cornell,Male
2010,Duke,Notre Dame,Male
2011,Virginia,Maryland,Male
2012,Loyola,Maryland,Male
2013,Duke,Syracuse,Male
2014,Duke,Notre Dame,Male
2015,Denver,Maryland,Male
2016,North Carolina,Maryland,Male
2017,Maryland,Ohio State,Male
2018,Yale,Duke,Male
2019,Virginia,Yale,Male
1982,Massachusetts,TCNJ,Female
1983,Delaware,Temple,Female
1984,Temple,Maryland,Female
1985,New Hampshire,Maryland,Female
1986,Maryland,Penn State,Female
1987,Penn State,Temple,Female
1988,Temple,Penn State,Female
1989,Penn State,Harvard,Female
1990,Harvard,Maryland,Female
1991,Virginia,Maryland,Female
1992,Maryland,Havard,Female
1993,Virginia,Princeton,Female
1994,Princeton,Maryland,Female
1995,Maryland,Princeton,Female
1996,Maryland,Virginia,Female
1997,Maryland,Loyola (Md.),Female
1998,Maryland,Virginia,Female
1999,Maryland,Virginia,Female
2000,Maryland,Princeton,Female
2001,Maryland,Georgetown,Female
2002,Princeton,Georgetown,Female
2003,Princeton,Virginia,Female
2004,Virginia,Princeton,Female
2005,Northwestern,Virginia,Female
2006,Northwestern,Dartmouth,Female
2007,Northwestern,Virginia,Female
2008,Northwestern,Penn,Female
2009,Northwestern,North Carolina,Female
2010,Maryland,Northwestern,Female
2011,Northwestern,Maryland,Female
2012,Northwestern,Syracuse,Female
2013,North Carolina,Maryland,Female
2014,Maryland,Syracuse,Female
2015,Maryland,North Carolina,Female
2016,North Carolina,Maryland,Female
2017,Maryland,Boston College,Female
2018,James Madison,Boston College,Female
2019,Maryland,Boston College,Female
